searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType
Monarda punctata occidentalis,5605234,Monarda punctata occidentalis,<i>Monarda</i> <i>punctata</i> var. <i>occidentalis</i> (Epling) E.J.Palmer & Steyerm.,VARIETY,Lamiaceae,2497,Monarda,2926838,Monarda punctata,5341413,85,EXACT
Oxalis pes-caprae pes-caprae,7469271,Oxalis pes-caprae pes-caprae,<i>Oxalis</i> <i>pes-caprae</i> var. <i>pes-caprae</i>,VARIETY,Oxalidaceae,6697,Oxalis,2891642,Oxalis pes-caprae,2891661,88,EXACT
Quercus myrsinifolia,2878564,Quercus myrsinifolia,<i>Quercus</i> <i>myrsinifolia</i> Blume,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus myrsinifolia,2878564,100,EXACT
Smilax californica,5295648,Smilax californica,<i>Smilax</i> <i>californica</i> (A.DC.) A.Gray,SPECIES,Smilacaceae,7702,Smilax,2740627,Smilax californica,5295648,100,EXACT
Persicaria setacea,2889232,Persicaria setacea,<i>Persicaria</i> <i>setacea</i> (Baldwin ex Elliott) Small,SPECIES,Polygonaceae,2416,Persicaria,6390748,Persicaria setacea,2889232,100,EXACT
Suaeda tampicensis,3083532,Suaeda tampicensis,<i>Suaeda</i> <i>tampicensis</i> (Standl.) Standl.,SPECIES,Amaranthaceae,3064,Suaeda,7677792,Suaeda tampicensis,3083532,100,EXACT
Sambucus racemosa pubens,8250865,Sambucus racemosa pubens,<i>Sambucus</i> <i>racemosa</i> subsp. <i>pubens</i> (Michx.) Hultén,SUBSPECIES,Viburnaceae,4924416,Sambucus,2888721,Sambucus racemosa,2888723,85,EXACT
Fragaria × ananassa,3029912,Fragaria ananassa,<i>Fragaria</i> × <i>ananassa</i> (Weston) Rozier,SPECIES,Rosaceae,5015,Fragaria,3029779,Fragaria ananassa,3029912,99,EXACT
Physalis lanceolata,5341790,Physalis lanceolata,<i>Physalis</i> <i>lanceolata</i> Michx.,SPECIES,Solanaceae,7717,Physalis,2928907,Physalis lanceolata,5341790,99,EXACT
Viola purpurea dimorpha,5664375,Viola purpurea dimorpha,<i>Viola</i> <i>purpurea</i> subsp. <i>dimorpha</i> M.S.Baker & Clausen,SUBSPECIES,Violaceae,6631,Viola,2874237,Viola purpurea,5331324,85,EXACT
Rubus missouricus,2992597,Rubus missouricus,<i>Rubus</i> <i>missouricus</i> L.H.Bailey,SPECIES,Rosaceae,5015,Rubus,2988638,Rubus missouricus,2992597,100,EXACT
Crataegus pyracanthifolia,3014143,Crataegus pyracanthifolia,<i>Crataegus</i> <i>pyracanthifolia</i> G.Don,SPECIES,Rosaceae,5015,Crataegus,3013395,Crataegus pyracanthifolia,3014143,97,EXACT
Picea rubens,5284717,Picea rubens,<i>Picea</i> <i>rubens</i> Sarg.,SPECIES,Pinaceae,3925,Picea,7606064,Picea rubens,5284717,100,EXACT
Chamaenerion latifolium,3188786,Chamaenerion latifolium,<i>Chamaenerion</i> <i>latifolium</i> (L.) Sweet,SPECIES,Onagraceae,2430,Chamaenerion,8406741,Chamaenerion latifolium,3188786,99,EXACT
Persicaria arifolia,4036886,Persicaria arifolia,<i>Persicaria</i> <i>arifolia</i> (L.) Haraldson,SPECIES,Polygonaceae,2416,Persicaria,6390748,Persicaria arifolia,4036886,100,EXACT
Rhus × pulvinata,3190551,Rhus pulvinata,<i>Rhus</i> × <i>pulvinata</i> Greene,SPECIES,Anacardiaceae,2398,Rhus,3190534,Rhus pulvinata,3190551,100,EXACT
