searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType,searched_sp,matched_sp,scientificName,first_of_searched,first_of_binomial,first_of_canonical
Pinus contorta latifolia,5285756,Pinus contorta latifolia,<i>Pinus</i> <i>contorta</i> var. <i>latifolia</i> Engelm.,VARIETY,Pinaceae,3925.0,Pinus,2684241.0,Pinus contorta,5285750.0,85,EXACT,3,3,Pinus contorta latifolia,Pinus,Pinus,Pinus
Viola vallicola,5331175,Viola vallicola,<i>Viola</i> <i>vallicola</i> A.Nelson,SPECIES,Violaceae,6631.0,Viola,2874237.0,Viola vallicola,5331175.0,100,EXACT,2,2,Viola vallicola,Viola,Viola,Viola
Fragaria virginiana platypetala,8133484,Fragaria virginiana platypetala,<i>Fragaria</i> <i>virginiana</i> subsp. <i>platypetala</i> (Rydb.) A.E.Murray,SUBSPECIES,Rosaceae,5015.0,Fragaria,3029779.0,Fragaria virginiana,7950792.0,85,EXACT,3,3,Fragaria virginiana platypetala,Fragaria,Fragaria,Fragaria
Allium peninsulare peninsulare,7227637,Allium peninsulare peninsulare,<i>Allium</i> <i>peninsulare</i> var. <i>peninsulare</i>,VARIETY,Amaryllidaceae,7682.0,Allium,9624496.0,Allium peninsulare,2856390.0,88,EXACT,3,3,Allium peninsulare peninsulare,Allium,Allium,Allium
Cirsium remotifolium odontolepis,4219572,Cirsium remotifolium odontolepis,<i>Cirsium</i> <i>remotifolium</i> var. <i>odontolepis</i> Petr.,VARIETY,Asteraceae,3065.0,Cirsium,3112554.0,Cirsium remotifolium,3113736.0,88,EXACT,3,3,Cirsium remotifolium odontolepis,Cirsium,Cirsium,Cirsium
Osmorhiza longistylis villicaulis,3034158,Osmorhiza longistylis villicaulis,<i>Osmorhiza</i> <i>longistylis</i> var. <i>villicaulis</i> Fernald,VARIETY,Apiaceae,6720.0,Osmorhiza,3034140.0,Osmorhiza longistylis,3034155.0,88,EXACT,3,3,Osmorhiza longistylis villicaulis,Osmorhiza,Osmorhiza,Osmorhiza
Quercus × harbisonii,2880538,Quercus harbisonii,<i>Quercus</i> × <i>harbisonii</i> Sarg.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus harbisonii,2880538.0,100,EXACT,3,2,Quercus harbisonii,Quercus,Quercus,Quercus
Betula uber,5669409,Betula uber,<i>Betula</i> <i>uber</i> (Ashe) Fernald,SPECIES,Betulaceae,4688.0,Betula,2875008.0,Betula lenta,5331709.0,100,EXACT,2,2,Betula uber,Betula,Betula,Betula
Monarda fistulosa rubra,5605417,Monarda fistulosa rubra,<i>Monarda</i> <i>fistulosa</i> var. <i>rubra</i> A.Gray,VARIETY,Lamiaceae,2497.0,Monarda,2926838.0,Monarda fistulosa,5341411.0,88,EXACT,3,3,Monarda fistulosa rubra,Monarda,Monarda,Monarda
Rumex × confusus,2889024,Rumex confusus,<i>Rumex</i> × <i>confusus</i> Simonk.,SPECIES,Polygonaceae,2416.0,Rumex,2888942.0,Rumex confusus,2889024.0,100,EXACT,3,2,Rumex confusus,Rumex,Rumex,Rumex
Viburnum setigerum,2888604,Viburnum setigerum,<i>Viburnum</i> <i>setigerum</i> Hance,SPECIES,Viburnaceae,4924416.0,Viburnum,2888580.0,Viburnum setigerum,2888604.0,100,EXACT,2,2,Viburnum setigerum,Viburnum,Viburnum,Viburnum
Tragopogon eriospermus,5693308,Tragopogon eriospermus,<i>Tragopogon</i> <i>eriospermus</i> Ten.,SPECIES,Asteraceae,3065.0,Tragopogon,3092408.0,Tragopogon porrifolius,5386938.0,100,EXACT,2,2,Tragopogon eriospermus,Tragopogon,Tragopogon,Tragopogon
Claytonia parviflora viridis,4022997,Claytonia parviflora viridis,<i>Claytonia</i> <i>parviflora</i> subsp. <i>viridis</i> (Davidson) J.M.Mill. & K.L.Chambers,SUBSPECIES,Montiaceae,4898338.0,Claytonia,3084729.0,Claytonia parviflora,3084736.0,88,EXACT,3,3,Claytonia parviflora viridis,Claytonia,Claytonia,Claytonia
Quercus inopina,2880834,Quercus inopina,<i>Quercus</i> <i>inopina</i> Ashe,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus inopina,2880834.0,100,EXACT,2,2,Quercus inopina,Quercus,Quercus,Quercus
Sparganium eurycarpum eurycarpum,7227192,Sparganium eurycarpum eurycarpum,<i>Sparganium</i> <i>eurycarpum</i> subsp. <i>eurycarpum</i>,SUBSPECIES,Typhaceae,4246.0,Sparganium,2702260.0,Sparganium eurycarpum,2702394.0,88,EXACT,3,3,Sparganium eurycarpum eurycarpum,Sparganium,Sparganium,Sparganium
Passiflora incarnata alba,3587408,Passiflora incarnata alba,<i>Passiflora</i> <i>incarnata</i> f. <i>alba</i> Waterf.,FORM,Passifloraceae,2378.0,Passiflora,2874172.0,Passiflora incarnata,2874218.0,88,EXACT,3,3,Passiflora incarnata alba,Passiflora,Passiflora,Passiflora
Sideroxylon lanuginosum rigidum,2887071,Sideroxylon lanuginosum rigidum,<i>Sideroxylon</i> <i>lanuginosum</i> subsp. <i>rigidum</i> (A.Gray) T.D.Penn.,SUBSPECIES,Sapotaceae,8802.0,Sideroxylon,2886817.0,Sideroxylon lanuginosum,2887069.0,85,EXACT,3,3,Sideroxylon lanuginosum rigidum,Sideroxylon,Sideroxylon,Sideroxylon
Amelanchier amabilis,3023845,Amelanchier amabilis,<i>Amelanchier</i> <i>amabilis</i> Wiegand,SPECIES,Rosaceae,5015.0,Amelanchier,3023817.0,Amelanchier sanguinea,3023840.0,100,EXACT,2,2,Amelanchier amabilis,Amelanchier,Amelanchier,Amelanchier
Phlox pilosa sangamonensis,4056624,Phlox pilosa sangamonensis,<i>Phlox</i> <i>pilosa</i> subsp. <i>sangamonensis</i> D.A.Levin & D.M.Sm.,SUBSPECIES,Polemoniaceae,6648.0,Phlox,2927698.0,Phlox pilosa,2927734.0,88,EXACT,3,3,Phlox pilosa sangamonensis,Phlox,Phlox,Phlox
Trillium albidum albidum,8209586,Trillium albidum albidum,<i>Trillium</i> <i>albidum</i> subsp. <i>albidum</i>,SUBSPECIES,Melanthiaceae,7700.0,Trillium,2742182.0,Trillium albidum,2742259.0,88,EXACT,3,3,Trillium albidum albidum,Trillium,Trillium,Trillium
Crataegus tanuphylla,3015010,Crataegus tanuphylla,<i>Crataegus</i> <i>tanuphylla</i> Sarg.,SPECIES,Rosaceae,5015.0,Crataegus,3013395.0,Crataegus tanuphylla,3015010.0,100,EXACT,2,2,Crataegus tanuphylla,Crataegus,Crataegus,Crataegus
Clinopodium mimuloides,2926928,Clinopodium mimuloides,<i>Clinopodium</i> <i>mimuloides</i> (Benth.) Kuntze,SPECIES,Lamiaceae,2497.0,Clinopodium,2926907.0,Clinopodium mimuloides,2926928.0,100,EXACT,2,2,Clinopodium mimuloides,Clinopodium,Clinopodium,Clinopodium
Quercus × heterophylla,2879971,Quercus heterophylla,<i>Quercus</i> × <i>heterophylla</i> F.Michx.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus heterophylla,2879971.0,99,EXACT,3,2,Quercus heterophylla,Quercus,Quercus,Quercus
Rubus tricolor,2989222,Rubus tricolor,<i>Rubus</i> <i>tricolor</i> Focke,SPECIES,Rosaceae,5015.0,Rubus,2988638.0,Rubus tricolor,2989222.0,99,EXACT,2,2,Rubus tricolor,Rubus,Rubus,Rubus
Persicaria amphibia stipulacea,4036983,Persicaria amphibia stipulacea,<i>Persicaria</i> <i>amphibia</i> var. <i>stipulacea</i> (N.Coleman) H.Hara,VARIETY,Polygonaceae,2416.0,Persicaria,6390748.0,Persicaria amphibia,6391648.0,88,EXACT,3,3,Persicaria amphibia stipulacea,Persicaria,Persicaria,Persicaria
Commelina erecta angustifolia,2764395,Commelina erecta angustifolia,"<i>Commelina</i> <i>erecta</i> var. <i>angustifolia</i> Alph.Wood, 1861",VARIETY,Commelinaceae,2763195.0,Commelina,2763939.0,Commelina erecta,2764389.0,85,EXACT,3,3,Commelina erecta angustifolia,Commelina,Commelina,Commelina
Polygonatum biflorum biflorum,4270343,Polygonatum biflorum biflorum,<i>Polygonatum</i> <i>biflorum</i> var. <i>biflorum</i>,VARIETY,Asparagaceae,7683.0,Polygonatum,2769995.0,Polygonatum biflorum,2770039.0,84,EXACT,3,3,Polygonatum biflorum biflorum,Polygonatum,Polygonatum,Polygonatum
Ceanothus gloriosus,3039305,Ceanothus gloriosus,<i>Ceanothus</i> <i>gloriosus</i> Howell,SPECIES,Rhamnaceae,2407.0,Ceanothus,3039297.0,Ceanothus gloriosus,3039305.0,100,EXACT,2,2,Ceanothus gloriosus,Ceanothus,Ceanothus,Ceanothus
Viola incognita,6397175,Viola incognita,<i>Viola</i> <i>incognita</i> Brainerd,SPECIES,Violaceae,6631.0,Viola,2874237.0,Viola incognita,6397175.0,100,EXACT,2,2,Viola incognita,Viola,Viola,Viola
Angelica dentata,5371785,Angelica dentata,<i>Angelica</i> <i>dentata</i> (Chapm.) J.M.Coult. & Rose,SPECIES,Apiaceae,6720.0,Angelica,3034560.0,Angelica venenosa,5371819.0,100,EXACT,2,2,Angelica dentata,Angelica,Angelica,Angelica
