searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType
Quercus alba,2879737,Quercus alba,<i>Quercus</i> <i>alba</i> L.,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus alba,2879737,99,EXACT
Quercus macrocarpa,2878213,Quercus macrocarpa,<i>Quercus</i> <i>macrocarpa</i> Michx.,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus macrocarpa,2878213,99,EXACT
Quercus michauxii,2880340,Quercus michauxii,<i>Quercus</i> <i>michauxii</i> Nutt.,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus michauxii,2880340,99,EXACT
Quercus montana,2881118,Quercus montana,<i>Quercus</i> <i>montana</i> Willd.,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus montana,2881118,99,EXACT
Quercus virginiana,2878092,Quercus virginiana,<i>Quercus</i> <i>virginiana</i> Mill.,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus virginiana,2878092,100,EXACT
Rosa,11360568,Rosa,<i>Rosa</i> sp. Lej.,SPECIES,Rosaceae,5015,Rosa,8395064,Rosa mollis,3003048,97,HIGHERRANK
Citrus trifoliata,3190129,Citrus trifoliata,<i>Citrus</i> <i>trifoliata</i> L.,SPECIES,Rutaceae,2396,Citrus,3190155,Citrus trifoliata,3190129,99,EXACT
Diospyros virginiana,3032986,Diospyros virginiana,<i>Diospyros</i> <i>virginiana</i> L.,SPECIES,Ebenaceae,6709,Diospyros,3030169,Diospyros virginiana,3032986,100,EXACT
Diospyros texanum,3032981,Diospyros texana,<i>Diospyros</i> <i>texana</i> Scheele,SPECIES,Ebenaceae,6709,Diospyros,3030169,Diospyros texana,3032981,98,VARIANT
Asimina triloba,3158040,Asimina triloba,<i>Asimina</i> <i>triloba</i> (L.) Dunal,SPECIES,Annonaceae,9291,Asimina,3158021,Asimina triloba,3158040,99,EXACT
Nyssa ogeche,5383722,Nyssa ogeche,<i>Nyssa</i> <i>ogeche</i> W.Bartram ex Marshall,SPECIES,Nyssaceae,6712,Nyssa,3082211,Nyssa ogeche,5383722,99,EXACT
Malus,3001068,Malus,<i>Malus</i> Mill.,GENUS,Rosaceae,5015,Malus,3001068,,,80,HIGHERRANK
Malus domestica,3001244,Malus domestica,<i>Malus</i> <i>domestica</i> (Suckow) Borkh.,SPECIES,Rosaceae,5015,Malus,3001068,Malus domestica,3001244,99,EXACT
Prunus,11580994,Prunus,"<i>Prunus</i> sp. (Mill.) D.A.Webb, 1967",SPECIES,Rosaceae,5015,Prunus,3020559,Prunus,11580994,97,HIGHERRANK
Sorbus,3012146,Sorbus,<i>Sorbus</i> L.,GENUS,Rosaceae,5015,Sorbus,3012146,,,80,HIGHERRANK
Aralia spinosa,3036972,Aralia spinosa,<i>Aralia</i> <i>spinosa</i> L.,SPECIES,Araliaceae,8800,Aralia,3036858,Aralia spinosa,3036972,100,EXACT
Celtis occidentalis,2984481,Celtis occidentalis,<i>Celtis</i> <i>occidentalis</i> L.,SPECIES,Cannabaceae,2384,Celtis,2984479,Celtis occidentalis,2984481,99,EXACT
Celtis laevigata,2984491,Celtis laevigata,<i>Celtis</i> <i>laevigata</i> Willd.,SPECIES,Cannabaceae,2384,Celtis,2984479,Celtis laevigata,2984491,99,EXACT
Prunus serotina,3021850,Prunus serotina,<i>Prunus</i> <i>serotina</i> Ehrh.,SPECIES,Rosaceae,5015,Prunus,3020559,Prunus serotina,3021850,99,EXACT
Prunus pensylvanica,8202030,Prunus pensylvanica,<i>Prunus</i> <i>pensylvanica</i> L.fil.,SPECIES,Rosaceae,5015,Prunus,3020559,Prunus pensylvanica,8202030,100,EXACT
Prunus avium,3020791,Prunus avium,<i>Prunus</i> <i>avium</i> (L.) L.,SPECIES,Rosaceae,5015,Prunus,3020559,Prunus avium,3020791,99,EXACT
