searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType,searched_sp,matched_sp,scientificName,first_of_searched,first_of_binomial,first_of_canonical
Gleditsia triacanthos,2959443,Gleditsia triacanthos,<i>Gleditsia</i> <i>triacanthos</i> L.,SPECIES,Fabaceae,5386.0,Gleditsia,2959442.0,Gleditsia triacanthos,2959443.0,100,EXACT,2,2,Gleditsia triacanthos,Gleditsia,Gleditsia,Gleditsia
Robinia pseudoacacia,5352251,Robinia pseudoacacia,<i>Robinia</i> <i>pseudoacacia</i> L.,SPECIES,Fabaceae,5386.0,Robinia,2952066.0,Robinia pseudoacacia,5352251.0,100,EXACT,2,2,Robinia pseudoacacia,Robinia,Robinia,Robinia
Robinia viscosa,5352245,Robinia viscosa,<i>Robinia</i> <i>viscosa</i> Michx. ex Vent.,SPECIES,Fabaceae,5386.0,Robinia,2952066.0,Robinia viscosa,5352245.0,99,EXACT,2,2,Robinia viscosa,Robinia,Robinia,Robinia
Robinia hispida,5352221,Robinia hispida,<i>Robinia</i> <i>hispida</i> L.,SPECIES,Fabaceae,5386.0,Robinia,2952066.0,Robinia hispida,5352221.0,100,EXACT,2,2,Robinia hispida,Robinia,Robinia,Robinia
Robinia neomexicana,5352212,Robinia neomexicana,<i>Robinia</i> <i>neomexicana</i> A.Gray,SPECIES,Fabaceae,5386.0,Robinia,2952066.0,Robinia neomexicana,5352212.0,100,EXACT,2,2,Robinia neomexicana,Robinia,Robinia,Robinia
Tilia americana,3152042,Tilia americana,<i>Tilia</i> <i>americana</i> L.,SPECIES,Malvaceae,6685.0,Tilia,3152041.0,Tilia americana,3152042.0,99,EXACT,2,2,Tilia americana,Tilia,Tilia,Tilia
Populus tremuloides,3040215,Populus tremuloides,<i>Populus</i> <i>tremuloides</i> Michx.,SPECIES,Salicaceae,6664.0,Populus,3040183.0,Populus tremuloides,3040215.0,99,EXACT,2,2,Populus tremuloides,Populus,Populus,Populus
Betula,9596658,Betula,<i>Betula</i> sp.,SPECIES,Betulaceae,4688.0,Betula,2875008.0,Betula,9596658.0,96,HIGHERRANK,1,1,Betula,Betula,Betula,Betula
Betula papyrifera,5332120,Betula papyrifera,<i>Betula</i> <i>papyrifera</i> Marshall,SPECIES,Betulaceae,4688.0,Betula,2875008.0,Betula papyrifera,5332120.0,99,EXACT,2,2,Betula papyrifera,Betula,Betula,Betula
Betula nigra,5331532,Betula nigra,<i>Betula</i> <i>nigra</i> L.,SPECIES,Betulaceae,4688.0,Betula,2875008.0,Betula nigra,5331532.0,99,EXACT,2,2,Betula nigra,Betula,Betula,Betula
Betula alleghaniensis,5331779,Betula alleghaniensis,<i>Betula</i> <i>alleghaniensis</i> Britton,SPECIES,Betulaceae,4688.0,Betula,2875008.0,Betula alleghaniensis,5331779.0,100,EXACT,2,2,Betula alleghaniensis,Betula,Betula,Betula
Betula lenta,5331709,Betula lenta,<i>Betula</i> <i>lenta</i> L.,SPECIES,Betulaceae,4688.0,Betula,2875008.0,Betula lenta,5331709.0,99,EXACT,2,2,Betula lenta,Betula,Betula,Betula
Acer,11599995,Acer,"<i>Acer</i> sp. Linnaeus, 1753",SPECIES,Sapindaceae,6657.0,Acer,3189834.0,Acer,11599995.0,98,HIGHERRANK,1,1,Acer,Acer,Acer,Acer
Acer saccharum,3189859,Acer saccharum,<i>Acer</i> <i>saccharum</i> Marshall,SPECIES,Sapindaceae,6657.0,Acer,3189834.0,Acer saccharum,3189859.0,100,EXACT,2,2,Acer saccharum,Acer,Acer,Acer
Acer rubrum,3189883,Acer rubrum,<i>Acer</i> <i>rubrum</i> L.,SPECIES,Sapindaceae,6657.0,Acer,3189834.0,Acer rubrum,3189883.0,99,EXACT,2,2,Acer rubrum,Acer,Acer,Acer
Acer saccharinum,3189837,Acer saccharinum,<i>Acer</i> <i>saccharinum</i> L.,SPECIES,Sapindaceae,6657.0,Acer,3189834.0,Acer saccharinum,3189837.0,99,EXACT,2,2,Acer saccharinum,Acer,Acer,Acer
