searchedName,canonicalName,scientificName,rank,usageKey,match_confidence,matchType
 Passiflora lutea,Passiflora lutea,Passiflora lutea L.,SPECIES,2874220,99,EXACT
 Phaseolus polystachios,Phaseolus polystachios,"Phaseolus polystachios (L.) Britton, Sterns & Poggenb.",SPECIES,5350430,100,EXACT
 Apios americana,Apios americana,Apios americana Medik.,SPECIES,2966796,100,EXACT
 Galium aparine,Galium aparine,Galium aparine L.,SPECIES,2913548,100,EXACT
 Dioscorea polystachya,Dioscorea polystachya,Dioscorea polystachya Turcz.,SPECIES,2754732,100,EXACT
 Panax quinquefoli,Panax quinquefolius,Panax quinquefolius L.,SPECIES,5372246,95,FUZZY
 Ipomoea pandurata,Ipomoea pandurata,Ipomoea pandurata (L.) G.Mey.,SPECIES,2928514,99,EXACT
 Calamint arkansana,Calamintha arkansana,Calamintha arkansana (Nutt.) Shinners,SPECIES,5341435,80,FUZZY
 Melothria pendula,Melothria pendula,Melothria pendula L.,SPECIES,2874550,99,EXACT
 Passiflora incarnata,Passiflora incarnata,Passiflora incarnata L.,SPECIES,2874218,99,EXACT
Satureja vulgaris,Clinopodium,Clinopodium L.,GENUS,2926907,99,HIGHERRANK
 Marrubium vulgare,Marrubium vulgare,Marrubium vulgare L.,SPECIES,2927069,100,EXACT
 Perilla frutescens,Perilla frutescens,Perilla frutescens (L.) Britton,SPECIES,5341394,99,EXACT
 Sedum ternatum,Sedum ternatum,Sedum ternatum Michx.,SPECIES,5362037,100,EXACT
Lamium purpureum,Lamium purpureum,Lamium purpureum L.,SPECIES,2926682,100,EXACT
 Stachys floridana,Stachys floridana,Stachys floridana Shuttlew. ex Benth.,SPECIES,2927237,99,EXACT
 Hedeoma pulegioides,Hedeoma pulegioides,Hedeoma pulegioides (L.) Pers.,SPECIES,2926704,100,EXACT
Galeopsis,Galeopsis,Galeopsis L.,GENUS,8423109,95,HIGHERRANK
 Origanum vulgare,Origanum vulgare,Origanum vulgare L.,SPECIES,2926612,99,EXACT
 Hypericum ascryon,Hypericum ascyron,Hypericum ascyron L.,SPECIES,3189479,95,FUZZY
 Stellaria graminea,Stellaria graminea,Stellaria graminea L.,SPECIES,5384616,99,EXACT
 Bidens bipinnata,Bidens bipinnata,Bidens bipinnata L.,SPECIES,5389402,99,EXACT
 Honckenya peploides,Honckenya peploides,Honckenya peploides (L.) Ehrh.,SPECIES,3085776,100,EXACT
Stellaria,Stellaria,Stellaria L.,GENUS,3085667,95,HIGHERRANK
 Lamium amplexicaule,Lamium amplexicaule,Lamium amplexicaule L.,SPECIES,2926679,100,EXACT
 Proboscidea louisiana,Proboscidea louisiana,Proboscidea louisiana (Mill.) Wooton & Standl.,SPECIES,5415102,99,EXACT
 Lycopus unifiorus,Lycopus uniflorus,Lycopus uniflorus Michx.,SPECIES,5341480,96,FUZZY
 Urtica dioica,Urtica dioica,Urtica dioica L.,SPECIES,7960979,99,EXACT
 Rhexia virginica,Rhexia virginica,Rhexia virginica L.,SPECIES,6370198,100,EXACT
 Pilea pumila,Pilea pumila,Pilea pumila (L.) A.Gray,SPECIES,5361818,99,EXACT
Galinsoga,Galinsoga,Galinsoga Ruiz & Pav.,GENUS,3132547,80,EXACT
 Iva annua,Iva annua,Iva annua L.,SPECIES,5402627,99,EXACT
Artiplex,Plantae,Plantae,KINGDOM,6,99,HIGHERRANK
 Drymaria cordata,Drymaria cordata,Drymaria cordata (L.) Willd. ex Schult.,SPECIES,5384509,99,EXACT
Amaranthus,Amaranthus,Amaranthus L.,GENUS,3085074,95,HIGHERRANK
 Kochia scoparia,Kochia scoparia,Kochia scoparia (L.) Schrad.,SPECIES,8904738,100,EXACT
 Helianthus tuberosus,Helianthus tuberosus,Helianthus tuberosus L.,SPECIES,3119175,99,EXACT
 Conyza canadensis,Conyza canadensis,Conyza canadensis (L.) Cronquist,SPECIES,5404801,100,EXACT
 Pedicularis lanceolata,Pedicularis lanceolata,Pedicularis lanceolata Michx.,SPECIES,3171676,100,EXACT
 Phytolacca americana,Phytolacca americana,Phytolacca americana L.,SPECIES,3084015,100,EXACT
 Parietaria pensylvanica,Parietaria pensylvanica,Parietaria pensylvanica Muhl. ex Willd.,SPECIES,5361796,99,EXACT
 Comandra umbellata,Comandra umbellata,Comandra umbellata (L.) Nutt.,SPECIES,2889777,100,EXACT
 Streptopus lanceolatus,Streptopus lanceolatus,Streptopus lanceolatus (Aiton) Reveal,SPECIES,2752779,100,EXACT
 Polygonatum biflorum,Polygonatum biflorum,Polygonatum biflorum (Walter) Elliott,SPECIES,2770039,100,EXACT
 Rumex triangulivalvis,Rumex triangulivalvis,Rumex triangulivalvis (Danser) Rech.fil.,SPECIES,6391377,100,EXACT
 Epilobium angustifolium,Chamaenerion,Chamaenerion Seguier,GENUS,8406741,99,HIGHERRANK
 Artemisia serrata,Artemisia serrata,Artemisia serrata Nutt.,SPECIES,3121361,100,EXACT
 Commelina communis,Commelina communis,Commelina communis L.,SPECIES,2764179,99,EXACT
Penthorum,Penthorum,Penthorum L.,GENUS,2985708,80,EXACT
 Streptopus amplexifolius,Streptopus amplexifolius,Streptopus amplexifolius (L.) DC.,SPECIES,2752734,100,EXACT
 Oenothera grandiflora,Oenothera grandiflora,Oenothera grandiflora L'Her.,SPECIES,8106009,99,EXACT
